Ndiff,run,model
79,run45,LSD
55.666666666666664,run46,LSD
49.333333333333336,run47,LSD
40,run48,LSD
10.333333333333334,run49,LSD
59.333333333333336,run50,LSD
47.66666666666667,run51,LSD
109.00000000000001,run52,LSD
-10,run53,LSD
83.33333333333334,run54,LSD
-13.333333333333334,run55,LSD
65.66666666666666,run56,LSD
110.66666666666667,run57,LSD
42.66666666666667,run58,LSD
65.66666666666666,run59,LSD
50.33333333333333,run60,LSD
63,run61,LSD
41.66666666666667,run62,LSD
108.33333333333333,run63,LSD
84.33333333333334,run64,LSD
56.333333333333336,run65,LSD
77,run66,LSD
60.66666666666667,run67,LSD
69,run68,LSD
53,run69,LSD
101.33333333333334,run70,LSD
21,run71,LSD
55.333333333333336,run72,LSD
117,run73,LSD
72.66666666666667,run74,LSD
10.666666666666668,run75,LSD
54.666666666666664,run76,LSD
112.00000000000001,run77,LSD
45.666666666666664,run78,LSD
82,run79,LSD
57.99999999999999,run80,LSD
94,run81,LSD
69.66666666666667,run82,LSD
94.33333333333334,run83,LSD
147.66666666666666,run84,LSD
38.666666666666664,run85,LSD
95.33333333333334,run86,LSD
68.66666666666667,run87,LSD
109.00000000000001,run88,LSD
81.66666666666667,run89,LSD
81.33333333333333,run90,LSD
68.33333333333333,run91,LSD
116.66666666666667,run92,LSD
115.99999999999999,run93,LSD
84.33333333333334,run94,LSD
59,run95,LSD
66.33333333333333,run96,LSD
9,run97,LSD
145,run98,LSD
42.66666666666667,run99,LSD
65,run100,LSD
0.9966777408637874,run1,FMD
26.245847176079735,run2,FMD
-0.9966777408637874,run3,FMD
43.521594684385384,run4,FMD
14.950166112956811,run5,FMD
8.305647840531561,run6,FMD
42.19269102990033,run7,FMD
15.282392026578073,run8,FMD
0.33222591362126247,run9,FMD
44.18604651162791,run10,FMD
56.14617940199336,run11,FMD
24.25249169435216,run12,FMD
45.51495016611295,run13,FMD
33.222591362126245,run14,FMD
31.893687707641195,run15,FMD
30.23255813953488,run16,FMD
-15.282392026578073,run17,FMD
23.25581395348837,run18,FMD
11.960132890365449,run19,FMD
22.591362126245848,run20,FMD
17.940199335548172,run21,FMD
44.518272425249165,run22,FMD
36.544850498338874,run23,FMD
0.33222591362126247,run24,FMD
37.2093023255814,run25,FMD
11.960132890365449,run26,FMD
0.6644518272425249,run27,FMD
40.53156146179402,run28,FMD
15.282392026578073,run29,FMD
51.49501661129568,run30,FMD
37.54152823920266,run31,FMD
14.61794019933555,run32,FMD
19.601328903654487,run33,FMD
43.521594684385384,run34,FMD
-3.322259136212625,run35,FMD
13.2890365448505,run36,FMD
11.295681063122924,run37,FMD
57.14285714285714,run38,FMD
24.916943521594686,run39,FMD
1.3289036544850499,run40,FMD
23.588039867109632,run41,FMD
38.87043189368771,run42,FMD
63.45514950166113,run43,FMD
22.259136212624583,run44,FMD
12.956810631229235,run45,FMD
29.900332225913623,run46,FMD
9.634551495016613,run47,FMD
41.52823920265781,run48,FMD
29.2358803986711,run49,FMD
28.57142857142857,run50,FMD
23.920265780730897,run51,FMD
33.88704318936877,run52,FMD
21.262458471760798,run53,FMD
25.91362126245847,run54,FMD
39.202657807308974,run55,FMD
43.85382059800664,run56,FMD
38.205980066445186,run57,FMD
65.4485049833887,run58,FMD
30.23255813953488,run59,FMD
36.21262458471761,run60,FMD
56.47840531561462,run61,FMD
18.272425249169437,run62,FMD
20.26578073089701,run63,FMD
46.84385382059801,run64,FMD
14.61794019933555,run65,FMD
56.14617940199336,run66,FMD
22.259136212624583,run67,FMD
30.564784053156146,run68,FMD
42.19269102990033,run69,FMD
46.84385382059801,run70,FMD
23.25581395348837,run71,FMD
32.89036544850498,run72,FMD
11.627906976744185,run73,FMD
29.568106312292358,run74,FMD
30.23255813953488,run75,FMD
5.3156146179401995,run76,FMD
14.61794019933555,run77,FMD
24.916943521594686,run78,FMD
-15.282392026578073,run79,FMD
45.182724252491695,run80,FMD
39.202657807308974,run81,FMD
29.568106312292358,run82,FMD
24.25249169435216,run83,FMD
37.54152823920266,run84,FMD
14.61794019933555,run85,FMD
50.16611295681063,run86,FMD
26.245847176079735,run87,FMD
-18.93687707641196,run88,FMD
6.64451827242525,run89,FMD
12.956810631229235,run90,FMD
45.182724252491695,run91,FMD
-5.980066445182724,run92,FMD
30.564784053156146,run93,FMD
-12.624584717607974,run94,FMD
47.50830564784053,run95,FMD
33.88704318936877,run96,FMD
4.651162790697675,run97,FMD
15.282392026578073,run98,FMD
-6.976744186046512,run99,FMD
51.82724252491694,run100,FMD
-93.66666666666667,run1,Brucellosis
-97.33333333333334,run2,Brucellosis
-98,run3,Brucellosis
-83.66666666666667,run5,Brucellosis
-96.66666666666667,run6,Brucellosis
-98.66666666666667,run7,Brucellosis
-98.33333333333333,run8,Brucellosis
-96.33333333333334,run9,Brucellosis
-97,run10,Brucellosis
-99.33333333333333,run11,Brucellosis
-97,run12,Brucellosis
-97.66666666666667,run13,Brucellosis
-96.66666666666667,run14,Brucellosis
-98,run15,Brucellosis
