Ndiff,run,model,transmit
66.33333333,run96,LSD,FD
9,run97,LSD,FD
145,run98,LSD,FD
42.66666667,run99,LSD,FD
65,run100,LSD,FD
221,run1,FMD,FD
261.3333333,run2,FMD,FD
156.3333333,run3,FMD,FD
288.6666667,run4,FMD,FD
261.3333333,run5,FMD,FD
192,run6,FMD,FD
282.3333333,run7,FMD,FD
93.33333333,run8,FMD,FD
142,run9,FMD,FD
172.6666667,run10,FMD,FD
290.6666667,run11,FMD,FD
386.6666667,run12,FMD,FD
129,run13,FMD,FD
204.6666667,run14,FMD,FD
296.6666667,run15,FMD,FD
127.3333333,run16,FMD,FD
180,run17,FMD,FD
200.6666667,run18,FMD,FD
163.6666667,run19,FMD,FD
182.3333333,run20,FMD,FD
273.6666667,run21,FMD,FD
245,run22,FMD,FD
101,run23,FMD,FD
81,run24,FMD,FD
149,run25,FMD,FD
240,run26,FMD,FD
185.6666667,run27,FMD,FD
128.3333333,run28,FMD,FD
86.66666667,run29,FMD,FD
185,run30,FMD,FD
283.3333333,run31,FMD,FD
284.3333333,run32,FMD,FD
150.3333333,run33,FMD,FD
109.3333333,run34,FMD,FD
338,run35,FMD,FD
229.6666667,run36,FMD,FD
230.6666667,run37,FMD,FD
113.6666667,run38,FMD,FD
343,run39,FMD,FD
159.3333333,run40,FMD,FD
147.3333333,run41,FMD,FD
183.3333333,run42,FMD,FD
226,run43,FMD,FD
210.6666667,run44,FMD,FD
345.6666667,run45,FMD,FD
175.3333333,run46,FMD,FD
342.3333333,run47,FMD,FD
204.6666667,run48,FMD,FD
280,run49,FMD,FD
240.6666667,run50,FMD,FD
234.6666667,run51,FMD,FD
342.6666667,run52,FMD,FD
233.6666667,run53,FMD,FD
64.66666667,run54,FMD,FD
77.33333333,run55,FMD,FD
202.3333333,run56,FMD,FD
188.6666667,run57,FMD,FD
248.3333333,run58,FMD,FD
181.3333333,run59,FMD,FD
454.6666667,run60,FMD,FD
257,run61,FMD,FD
162,run62,FMD,FD
102,run63,FMD,FD
252.3333333,run64,FMD,FD
505.3333333,run65,FMD,FD
108.6666667,run66,FMD,FD
205,run67,FMD,FD
312,run68,FMD,FD
288.6666667,run69,FMD,FD
255,run70,FMD,FD
284.6666667,run71,FMD,FD
212.3333333,run72,FMD,FD
198,run73,FMD,FD
161,run74,FMD,FD
178.3333333,run75,FMD,FD
242.3333333,run76,FMD,FD
219,run77,FMD,FD
255.3333333,run78,FMD,FD
292.3333333,run79,FMD,FD
144.3333333,run80,FMD,FD
109.3333333,run81,FMD,FD
224,run82,FMD,FD
61,run83,FMD,FD
250.3333333,run84,FMD,FD
300,run85,FMD,FD
363,run86,FMD,FD
283.6666667,run87,FMD,FD
196.3333333,run88,FMD,FD
318.3333333,run89,FMD,FD
190.3333333,run90,FMD,FD
123.3333333,run91,FMD,FD
255,run92,FMD,FD
255,run93,FMD,FD
266.6666667,run94,FMD,FD
257.3333333,run95,FMD,FD
187.3333333,run96,FMD,FD
225.6666667,run97,FMD,FD
163.6666667,run98,FMD,FD
179,run99,FMD,FD
244,run100,FMD,FD
-93.66666667,run1,Brucellosis,FD
-97.33333333,run2,Brucellosis,FD
-98,run3,Brucellosis,FD
-83.66666667,run5,Brucellosis,FD
-96.66666667,run6,Brucellosis,FD
-98.66666667,run7,Brucellosis,FD
-98.33333333,run8,Brucellosis,FD
-96.33333333,run9,Brucellosis,FD
-97,run10,Brucellosis,FD
-99.33333333,run11,Brucellosis,FD
-97,run12,Brucellosis,FD
-97.66666667,run13,Brucellosis,FD
-96.66666667,run14,Brucellosis,FD
-98,run15,Brucellosis,FD
-97.33333333,run16,Brucellosis,FD
-99.33333333,run17,Brucellosis,FD
-98.66666667,run18,Brucellosis,FD
-94.33333333,run19,Brucellosis,FD
-95.33333333,run21,Brucellosis,FD
-99.66666667,run22,Brucellosis,FD
-97,run23,Brucellosis,FD
-95.66666667,run24,Brucellosis,FD
-94.66666667,run25,Brucellosis,FD
-98.66666667,run26,Brucellosis,FD
-96.66666667,run27,Brucellosis,FD
-98,run28,Brucellosis,FD
-99.66666667,run29,Brucellosis,FD
-99.66666667,run30,Brucellosis,FD
-96.66666667,run31,Brucellosis,FD
-97,run32,Brucellosis,FD
-95.33333333,run33,Brucellosis,FD
-94.33333333,run34,Brucellosis,FD
-92.66666667,run35,Brucellosis,FD
-97.33333333,run36,Brucellosis,FD
-99.66666667,run38,Brucellosis,FD
-91.33333333,run39,Brucellosis,FD
-97,run41,Brucellosis,FD
-95.66666667,run42,Brucellosis,FD
-93.66666667,run43,Brucellosis,FD
-99,run44,Brucellosis,FD
-95.66666667,run45,Brucellosis,FD
-94,run46,Brucellosis,FD
-97.66666667,run47,Brucellosis,FD
-96,run48,Brucellosis,FD
-99.66666667,run49,Brucellosis,FD
-98,run50,Brucellosis,FD
-96,run51,Brucellosis,FD
-97.33333333,run52,Brucellosis,FD
-92.66666667,run53,Brucellosis,FD
-96.66666667,run54,Brucellosis,FD
-97.33333333,run55,Brucellosis,FD
-98,run56,Brucellosis,FD
-93.66666667,run57,Brucellosis,FD
-99,run58,Brucellosis,FD
-99.33333333,run61,Brucellosis,FD
-91.33333333,run62,Brucellosis,FD
-97.33333333,run63,Brucellosis,FD
-99.33333333,run64,Brucellosis,FD
-97,run65,Brucellosis,FD
-99.33333333,run66,Brucellosis,FD
-97.33333333,run67,Brucellosis,FD
-99,run68,Brucellosis,FD
-98,run69,Brucellosis,FD
-95,run70,Brucellosis,FD
-99,run71,Brucellosis,FD
-92.66666667,run72,Brucellosis,FD
-91,run73,Brucellosis,FD
-93.66666667,run74,Brucellosis,FD
-96.66666667,run75,Brucellosis,FD
-92.66666667,run76,Brucellosis,FD
-98.33333333,run77,Brucellosis,FD
-97.33333333,run78,Brucellosis,FD
-97.66666667,run79,Brucellosis,FD
-98.33333333,run80,Brucellosis,FD
-99.33333333,run81,Brucellosis,FD
-97,run82,Brucellosis,FD
-96.66666667,run83,Brucellosis,FD
-99.66666667,run84,Brucellosis,FD
-98.33333333,run85,Brucellosis,FD
-99.33333333,run86,Brucellosis,FD
-94,run87,Brucellosis,FD
-99.33333333,run88,Brucellosis,FD
-99.33333333,run89,Brucellosis,FD
-93,run90,Brucellosis,FD
-97.66666667,run91,Brucellosis,FD
-98.33333333,run93,Brucellosis,FD
-98.33333333,run94,Brucellosis,FD
-94.66666667,run95,Brucellosis,FD
-95,run96,Brucellosis,FD
-95.33333333,run97,Brucellosis,FD
-95.66666667,run98,Brucellosis,FD
-92,run99,Brucellosis,FD
-92.66666667,run100,Brucellosis,FD
