Ndiff,run,model,transmit
75,run15,LSD,FD
97.66666667,run16,LSD,FD
78,run17,LSD,FD
100.3333333,run18,LSD,FD
155.3333333,run19,LSD,FD
14.33333333,run20,LSD,FD
60,run21,LSD,FD
18,run22,LSD,FD
35.33333333,run23,LSD,FD
82,run24,LSD,FD
77.33333333,run25,LSD,FD
-21.66666667,run26,LSD,FD
-6.666666667,run27,LSD,FD
32,run28,LSD,FD
50.66666667,run29,LSD,FD
63.33333333,run30,LSD,FD
81.66666667,run31,LSD,FD
30,run32,LSD,FD
90.66666667,run33,LSD,FD
46.33333333,run34,LSD,FD
102.3333333,run35,LSD,FD
121.3333333,run36,LSD,FD
128.6666667,run37,LSD,FD
80,run38,LSD,FD
47,run39,LSD,FD
13.66666667,run40,LSD,FD
157.3333333,run41,LSD,FD
86,run42,LSD,FD
59.66666667,run43,LSD,FD
153.6666667,run44,LSD,FD
79,run45,LSD,FD
55.66666667,run46,LSD,FD
49.33333333,run47,LSD,FD
40,run48,LSD,FD
10.33333333,run49,LSD,FD
59.33333333,run50,LSD,FD
47.66666667,run51,LSD,FD
109,run52,LSD,FD
-10,run53,LSD,FD
83.33333333,run54,LSD,FD
-13.33333333,run55,LSD,FD
65.66666667,run56,LSD,FD
110.6666667,run57,LSD,FD
42.66666667,run58,LSD,FD
65.66666667,run59,LSD,FD
50.33333333,run60,LSD,FD
63,run61,LSD,FD
41.66666667,run62,LSD,FD
108.3333333,run63,LSD,FD
84.33333333,run64,LSD,FD
56.33333333,run65,LSD,FD
77,run66,LSD,FD
60.66666667,run67,LSD,FD
69,run68,LSD,FD
53,run69,LSD,FD
101.3333333,run70,LSD,FD
21,run71,LSD,FD
55.33333333,run72,LSD,FD
117,run73,LSD,FD
72.66666667,run74,LSD,FD
10.66666667,run75,LSD,FD
54.66666667,run76,LSD,FD
112,run77,LSD,FD
45.66666667,run78,LSD,FD
82,run79,LSD,FD
58,run80,LSD,FD
94,run81,LSD,FD
69.66666667,run82,LSD,FD
94.33333333,run83,LSD,FD
147.6666667,run84,LSD,FD
38.66666667,run85,LSD,FD
95.33333333,run86,LSD,FD
68.66666667,run87,LSD,FD
109,run88,LSD,FD
81.66666667,run89,LSD,FD
81.33333333,run90,LSD,FD
68.33333333,run91,LSD,FD
116.6666667,run92,LSD,FD
116,run93,LSD,FD
84.33333333,run94,LSD,FD
59,run95,LSD,FD
66.33333333,run96,LSD,FD
9,run97,LSD,FD
145,run98,LSD,FD
42.66666667,run99,LSD,FD
65,run100,LSD,FD
-93.66666667,run1,Brucellosis,FD
-97.33333333,run2,Brucellosis,FD
-98,run3,Brucellosis,FD
-83.66666667,run5,Brucellosis,FD
-96.66666667,run6,Brucellosis,FD
-98.66666667,run7,Brucellosis,FD
-98.33333333,run8,Brucellosis,FD
-96.33333333,run9,Brucellosis,FD
-97,run10,Brucellosis,FD
-99.33333333,run11,Brucellosis,FD
-97,run12,Brucellosis,FD
-97.66666667,run13,Brucellosis,FD
-96.66666667,run14,Brucellosis,FD
-98,run15,Brucellosis,FD
-97.33333333,run16,Brucellosis,FD
-99.33333333,run17,Brucellosis,FD
-98.66666667,run18,Brucellosis,FD
-94.33333333,run19,Brucellosis,FD
-95.33333333,run21,Brucellosis,FD
-99.66666667,run22,Brucellosis,FD
-97,run23,Brucellosis,FD
-95.66666667,run24,Brucellosis,FD
-94.66666667,run25,Brucellosis,FD
-98.66666667,run26,Brucellosis,FD
-96.66666667,run27,Brucellosis,FD
-98,run28,Brucellosis,FD
-99.66666667,run29,Brucellosis,FD
-99.66666667,run30,Brucellosis,FD
-96.66666667,run31,Brucellosis,FD
-97,run32,Brucellosis,FD
-95.33333333,run33,Brucellosis,FD
-94.33333333,run34,Brucellosis,FD
-92.66666667,run35,Brucellosis,FD
-97.33333333,run36,Brucellosis,FD
-99.66666667,run38,Brucellosis,FD
-91.33333333,run39,Brucellosis,FD
-97,run41,Brucellosis,FD
-95.66666667,run42,Brucellosis,FD
-93.66666667,run43,Brucellosis,FD
-99,run44,Brucellosis,FD
-95.66666667,run45,Brucellosis,FD
-94,run46,Brucellosis,FD
-97.66666667,run47,Brucellosis,FD
-96,run48,Brucellosis,FD
-99.66666667,run49,Brucellosis,FD
-98,run50,Brucellosis,FD
-96,run51,Brucellosis,FD
-97.33333333,run52,Brucellosis,FD
-92.66666667,run53,Brucellosis,FD
-96.66666667,run54,Brucellosis,FD
-97.33333333,run55,Brucellosis,FD
-98,run56,Brucellosis,FD
-93.66666667,run57,Brucellosis,FD
-99,run58,Brucellosis,FD
-99.33333333,run61,Brucellosis,FD
-91.33333333,run62,Brucellosis,FD
-97.33333333,run63,Brucellosis,FD
-99.33333333,run64,Brucellosis,FD
-97,run65,Brucellosis,FD
-99.33333333,run66,Brucellosis,FD
-97.33333333,run67,Brucellosis,FD
-99,run68,Brucellosis,FD
-98,run69,Brucellosis,FD
-95,run70,Brucellosis,FD
-99,run71,Brucellosis,FD
-92.66666667,run72,Brucellosis,FD
-91,run73,Brucellosis,FD
-93.66666667,run74,Brucellosis,FD
-96.66666667,run75,Brucellosis,FD
-92.66666667,run76,Brucellosis,FD
-98.33333333,run77,Brucellosis,FD
-97.33333333,run78,Brucellosis,FD
-97.66666667,run79,Brucellosis,FD
-98.33333333,run80,Brucellosis,FD
-99.33333333,run81,Brucellosis,FD
-97,run82,Brucellosis,FD
-96.66666667,run83,Brucellosis,FD
-99.66666667,run84,Brucellosis,FD
-98.33333333,run85,Brucellosis,FD
-99.33333333,run86,Brucellosis,FD
-94,run87,Brucellosis,FD
-99.33333333,run88,Brucellosis,FD
-99.33333333,run89,Brucellosis,FD
-93,run90,Brucellosis,FD
-97.66666667,run91,Brucellosis,FD
-98.33333333,run93,Brucellosis,FD
-98.33333333,run94,Brucellosis,FD
-94.66666667,run95,Brucellosis,FD
-95,run96,Brucellosis,FD
-95.33333333,run97,Brucellosis,FD
-95.66666667,run98,Brucellosis,FD
-92,run99,Brucellosis,FD
-92.66666667,run100,Brucellosis,FD
0.996677741,run1,FMD,DD
26.24584718,run2,FMD,DD
-0.996677741,run3,FMD,DD
43.52159468,run4,FMD,DD
14.95016611,run5,FMD,DD
8.305647841,run6,FMD,DD
42.19269103,run7,FMD,DD
15.28239203,run8,FMD,DD
0.332225914,run9,FMD,DD
44.18604651,run10,FMD,DD
56.1461794,run11,FMD,DD
24.25249169,run12,FMD,DD
45.51495017,run13,FMD,DD
33.22259136,run14,FMD,DD
31.89368771,run15,FMD,DD
30.23255814,run16,FMD,DD
-15.28239203,run17,FMD,DD
23.25581395,run18,FMD,DD
11.96013289,run19,FMD,DD
22.59136213,run20,FMD,DD
17.94019934,run21,FMD,DD
44.51827243,run22,FMD,DD
36.5448505,run23,FMD,DD
0.332225914,run24,FMD,DD
37.20930233,run25,FMD,DD
11.96013289,run26,FMD,DD
0.664451827,run27,FMD,DD
40.53156146,run28,FMD,DD
15.28239203,run29,FMD,DD
51.49501661,run30,FMD,DD
37.54152824,run31,FMD,DD
14.6179402,run32,FMD,DD
19.6013289,run33,FMD,DD
43.52159468,run34,FMD,DD
-3.322259136,run35,FMD,DD
13.28903654,run36,FMD,DD
11.29568106,run37,FMD,DD
57.14285714,run38,FMD,DD
24.91694352,run39,FMD,DD
1.328903654,run40,FMD,DD
23.58803987,run41,FMD,DD
38.87043189,run42,FMD,DD
63.4551495,run43,FMD,DD
22.25913621,run44,FMD,DD
12.95681063,run45,FMD,DD
29.90033223,run46,FMD,DD
9.634551495,run47,FMD,DD
41.5282392,run48,FMD,DD
29.2358804,run49,FMD,DD
28.57142857,run50,FMD,DD
23.92026578,run51,FMD,DD
33.88704319,run52,FMD,DD
21.26245847,run53,FMD,DD
25.91362126,run54,FMD,DD
39.20265781,run55,FMD,DD
43.8538206,run56,FMD,DD
38.20598007,run57,FMD,DD
65.44850498,run58,FMD,DD
30.23255814,run59,FMD,DD
36.21262458,run60,FMD,DD
56.47840532,run61,FMD,DD
18.27242525,run62,FMD,DD
